"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NE-017,"Brown County",1.08,5,-2.5632,3.64
NE-019,"Buffalo County",2.93,53,-0.9817,3.91
NE-021,"Burt County",1.33,3,-3.1715,4.5
NE-023,"Butler County",3.49,49,-0.9439,4.43
NE-025,"Cass County",3.84,56,-0.6735,4.51
NE-027,"Cedar County",1.35,4,-2.7448,4.09
NE-029,"Chase County",1.4,17,-1.7714,3.17
NE-031,"Cherry County",1.56,17,-1.8949,3.45
NE-033,"Cheyenne County",0.97,5,-1.9498,2.92
NE-035,"Clay County",2.73,37,-1.3901,4.12
NE-037,"Colfax County",1.48,4,-3.0472,4.53
NE-039,"Cuming County",1.05,2,-3.4683,4.52
NE-041,"Custer County",1.8,17,-2.0407,3.84
NE-043,"Dakota County",1.33,4,-2.834,4.16
NE-045,"Dawes County",1.17,11,-1.8404,3.01
NE-047,"Dawson County",1.38,8,-2.4048,3.78
NE-049,"Deuel County",0.71,2,-2.2836,2.99
NE-051,"Dixon County",1.45,7,-2.6918,4.14
NE-053,"Dodge County",1.22,2,-3.3991,4.62
NE-055,"Douglas County",2.57,27,-2.0173,4.59
NE-057,"Dundy County",1.68,25,-1.3779,3.06
NE-059,"Fillmore County",2.96,45,-1.1992,4.16
NE-061,"Franklin County",1.4,11,-2.5068,3.91
NE-063,"Frontier County",2.33,32,-1.2237,3.55
NE-065,"Furnas County",2.06,34,-1.4053,3.47
NE-067,"Gage County",4.17,65,-0.2904,4.46
NE-069,"Garden County",0.84,2,-2.2085,3.05
NE-071,"Garfield County",1.32,4,-2.4524,3.77
NE-073,"Gosper County",1.4,14,-2.2279,3.63
NE-075,"Grant County",1.57,16,-1.7742,3.34
NE-077,"Greeley County",1.07,2,-2.8512,3.92
NE-079,"Hall County",2.82,38,-1.1978,4.02
NE-081,"Hamilton County",3.17,42,-0.9163,4.09
NE-083,"Harlan County",1.52,15,-2.1415,3.66
NE-085,"Hayes County",1.32,11,-2.1317,3.45
NE-087,"Hitchcock County",1.17,9,-2.1161,3.29
NE-089,"Holt County",1.89,12,-1.9401,3.83
NE-091,"Hooker County",1.79,17,-1.5938,3.38
NE-093,"Howard County",1.39,6,-2.6551,4.05
NE-095,"Jefferson County",2.86,33,-1.5379,4.4
NE-097,"Johnson County",3.88,57,-0.8077,4.69
NE-099,"Kearney County",2.41,38,-1.4719,3.88
NE-101,"Keith County",0.93,6,-2.1324,3.06
NE-103,"Keya Paha County",1.96,20,-1.6126,3.57
NE-105,"Kimball County",0.69,2,-1.9088,2.6
NE-107,"Knox County",1.45,8,-2.5096,3.96
NE-109,"Lancaster County",3.5,52,-0.8564,4.36
NE-111,"Lincoln County",1.14,4,-2.382,3.52
NE-113,"Logan County",1.36,11,-2.1802,3.54
NE-115,"Loup County",1.43,7,-2.2748,3.7
NE-117,"McPherson County",1.4,11,-1.9535,3.35
NE-119,"Madison County",1.62,8,-2.7428,4.36
NE-121,"Merrick County",2.52,28,-1.6158,4.14
NE-123,"Morrill County",1.04,9,-1.874,2.91
NE-125,"Nance County",2.17,24,-1.9971,4.17
NE-127,"Nemaha County",4.39,63,-0.4664,4.86
NE-129,"Nuckolls County",2.3,25,-2.0208,4.32
NE-131,"Otoe County",4.6,77,0.0104,4.59
NE-133,"Pawnee County",3.65,47,-1.019,4.67
NE-135,"Perkins County",0.93,6,-2.1692,3.1
NE-137,"Phelps County",1.82,22,-1.9194,3.74
NE-139,"Pierce County",1.42,4,-2.7681,4.19
NE-141,"Platte County",2.13,17,-2.1905,4.32
NE-143,"Polk County",3.84,63,-0.4272,4.27
NE-145,"Red Willow County",1.81,29,-1.4626,3.27
NE-147,"Richardson County",4.2,57,-0.5957,4.8
NE-149,"Rock County",1.43,8,-2.3066,3.74
NE-151,"Saline County",2.94,38,-1.3689,4.31
NE-153,"Sarpy County",2.86,34,-1.7344,4.59
NE-155,"Saunders County",2.46,22,-2.0863,4.55
NE-157,"Scotts Bluff County",0.78,6,-1.9024,2.68
NE-159,"Seward County",3.36,50,-0.9414,4.3
NE-161,"Sheridan County",1.32,10,-1.8523,3.17
NE-163,"Sherman County",2.14,24,-1.8159,3.96
NE-165,"Sioux County",1.25,18,-1.5654,2.82
NE-167,"Stanton County",1.37,3,-3.1304,4.5
NE-169,"Thayer County",2.71,37,-1.5453,4.26
NE-171,"Thomas County",1.46,17,-1.8702,3.33
NE-173,"Thurston County",1.25,4,-3.1096,4.36
NE-175,"Valley County",1.21,4,-2.6493,3.86
NE-177,"Washington County",1.92,11,-2.5539,4.47
NE-179,"Wayne County",1.57,6,-2.7597,4.33
NE-181,"Webster County",1.53,9,-2.6132,4.14
NE-183,"Wheeler County",1.1,3,-2.8124,3.91
NE-185,"York County",3.77,68,-0.4943,4.26
NV-001,"Churchill County",0.04,17,-0.5791,0.62
NV-003,"Clark County",0.05,69,-0.0775,0.13
NV-005,"Douglas County",0.14,39,-0.4671,0.61
NV-007,"Elko County",0.25,23,-0.8669,1.12
NV-009,"Esmeralda County",0.01,25,-0.277,0.29
NV-011,"Eureka County",0.06,11,-0.9105,0.97
NV-013,"Humboldt County",0.59,63,-0.4185,1.01
NV-015,"Lander County",0.12,24,-0.8363,0.96
NV-017,"Lincoln County",0.02,15,-0.3253,0.35
NV-019,"Lyon County",0.05,20,-0.5079,0.56
NV-021,"Mineral County",0.03,21,-0.4571,0.49
NV-023,"Nye County",0.02,11,-0.4005,0.42
NV-027,"Pershing County",0.24,48,-0.5511,0.79
NV-029,"Storey County",0.15,40,-0.4592,0.61
NV-031,"Washoe County",0.67,66,-0.1876,0.86
NV-033,"White Pine County",0.06,14,-0.8282,0.89
NV-510,"Carson City",0.24,57,-0.3109,0.55
NH-001,"Belknap County",3.04,53,-0.7139,3.75
NH-003,"Carroll County",2.92,37,-1.1575,4.08
NH-005,"Cheshire County",2.76,39,-0.9819,3.74
NH-007,"Coos County",3.52,45,-0.839,4.36
NH-009,"Grafton County",3.79,62,-0.2835,4.07
NH-011,"Hillsborough County",2.78,44,-0.9011,3.68
NH-013,"Merrimack County",3.25,58,-0.4831,3.73
NH-015,"Rockingham County",2.59,46,-0.9421,3.53
NH-017,"Strafford County",3.01,52,-0.6883,3.7
NH-019,"Sullivan County",3.19,54,-0.5183,3.71
NJ-001,"Atlantic County",2.52,41,-0.8702,3.39
NJ-003,"Bergen County",3.56,68,-0.2944,3.85
NJ-005,"Burlington County",4,84,0.3677,3.63
NJ-007,"Camden County",4.28,87,0.6108,3.67
NJ-009,"Cape May County",2.78,52,-0.509,3.29
NJ-011,"Cumberland County",2.47,35,-0.9948,3.46
NJ-013,"Essex County",3.2,47,-0.7074,3.91
NJ-015,"Gloucester County",4.06,78,0.3802,3.68
NJ-017,"Hudson County",3.01,48,-0.6001,3.61
NJ-019,"Hunterdon County",3.24,45,-0.5749,3.81
NJ-021,"Mercer County",3.09,48,-0.5674,3.66
NJ-023,"Middlesex County",3.21,50,-0.5132,3.72
NJ-025,"Monmouth County",3.43,68,-0.1463,3.58
NJ-027,"Morris County",3.59,58,-0.5696,4.16
NJ-029,"Ocean County",3.13,52,-0.4641,3.59
NJ-031,"Passaic County",3.58,60,-0.5502,4.13
NJ-033,"Salem County",3.41,60,-0.2027,3.61
NJ-035,"Somerset County",3.24,47,-0.6,3.84
NJ-037,"Sussex County",3.66,60,-0.4914,4.15
NJ-039,"Union County",2.94,37,-0.8366,3.78
NJ-041,"Warren County",4.15,73,0.1057,4.04
NM-001,"Bernalillo County",3.02,127,2.261,0.76
NM-003,"Catron County",2.75,128,2.0282,0.72
NM-005,"Chaves County",2.47,105,0.8474,1.62
NM-006,"Cibola County",2.59,127,1.9188,0.67
NM-007,"Colfax County",2.52,105,0.7557,1.76
NM-009,"Curry County",0.64,14,-1.6355,2.28
NM-011,"De Baca County",1.59,75,0.0338,1.56
