"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-067,"Sacramento County",76.4,125,4.828,71.6
CA-069,"San Benito County",71.2,124,4.917,66.3
CA-071,"San Bernardino County",84.1,117,4.764,79.3
CA-073,"San Diego County",74,124,5.354,68.6
CA-075,"San Francisco County",62.8,124,3.354,59.4
CA-077,"San Joaquin County",76,125,4.734,71.3
CA-079,"San Luis Obispo County",71.4,127,5.721,65.7
CA-081,"San Mateo County",63.1,125,3.827,59.3
CA-083,"Santa Barbara County",67.8,128,5.712,62.1
CA-085,"Santa Clara County",68.8,125,4.632,64.2
CA-087,"Santa Cruz County",65.6,128,5.288,60.3
CA-089,"Shasta County",67.8,95,2.254,65.5
CA-091,"Sierra County",58.7,88,1.802,56.9
CA-093,"Siskiyou County",59.8,96,1.854,57.9
CA-095,"Solano County",73.5,126,4.326,69.2
CA-097,"Sonoma County",65.5,121,3.252,62.2
CA-099,"Stanislaus County",75.3,122,4.238,71.1
CA-101,"Sutter County",77.3,115,3.741,73.6
CA-103,"Tehama County",72.2,103,2.75,69.5
CA-105,"Trinity County",64.1,103,2.595,61.5
CA-107,"Tulare County",68.3,112,3.876,64.4
CA-109,"Tuolumne County",62.7,109,3.084,59.6
CA-111,"Ventura County",68.2,126,5.94,62.3
CA-113,"Yolo County",75.7,119,3.75,72
CA-115,"Yuba County",74,110,3.096,70.9
CO-001,"Adams County",69.4,110,3.311,66.1
CO-003,"Alamosa County",61.9,111,3.026,58.9
CO-005,"Arapahoe County",68.7,109,3.362,65.3
CO-007,"Archuleta County",61,110,2.954,58
CO-009,"Baca County",72.8,89,1.548,71.3
CO-011,"Bent County",72.7,77,1.062,71.6
CO-013,"Boulder County",61.2,96,2.23,59
CO-014,"Broomfield County",69.1,103,2.947,66.2
CO-015,"Chaffee County",54.9,104,2.518,52.4
CO-017,"Cheyenne County",71.6,98,2.358,69.2
CO-019,"Clear Creek County",53.1,100,2.149,51
CO-021,"Conejos County",58.8,119,3.707,55.1
CO-023,"Costilla County",59.8,112,3.161,56.6
CO-025,"Crowley County",71.6,97,2.39,69.2
CO-027,"Custer County",58.2,102,2.476,55.7
CO-029,"Delta County",65.9,114,4.113,61.8
CO-031,"Denver County",69.4,107,3.022,66.4
CO-033,"Dolores County",61.4,118,4.809,56.6
CO-035,"Douglas County",64.4,98,2.439,62
CO-037,"Eagle County",56.3,100,2.191,54.1
CO-039,"Elbert County",67.4,112,3.884,63.5
CO-041,"El Paso County",65.5,99,2.307,63.2
CO-043,"Fremont County",62.6,96,2.11,60.5
CO-045,"Garfield County",61.5,107,3.376,58.1
CO-047,"Gilpin County",54.7,93,1.764,52.9
CO-049,"Grand County",54.4,105,2.487,51.9
CO-051,"Gunnison County",56.5,113,3.479,53
CO-053,"Hinsdale County",53,119,4.463,48.5
CO-055,"Huerfano County",63.9,99,2.28,61.6
CO-057,"Jackson County",53.3,99,2.096,51.2
CO-059,"Jefferson County",62.7,98,2.121,60.6
CO-061,"Kiowa County",71.8,81,1.177,70.6
CO-063,"Kit Carson County",71.9,108,3.625,68.3
CO-065,"Lake County",51.1,104,2.581,48.5
CO-067,"La Plata County",62.6,116,3.93,58.7
CO-069,"Larimer County",59.4,106,3.339,56.1
CO-071,"Las Animas County",69.1,100,2.291,66.8
CO-073,"Lincoln County",69.7,106,3.15,66.6
CO-075,"Logan County",70.7,107,3.658,67
CO-077,"Mesa County",67,114,4.339,62.7
CO-079,"Mineral County",53.8,119,3.954,49.8
CO-081,"Moffat County",62.6,103,3.075,59.5
CO-083,"Montezuma County",67.8,115,4.163,63.6
CO-085,"Montrose County",67.1,116,4.731,62.4
CO-087,"Morgan County",70.2,111,3.931,66.3
CO-089,"Otero County",72.3,87,1.655,70.6
CO-091,"Ouray County",60,119,5.269,54.7
CO-093,"Park County",54.8,99,2.095,52.7
CO-095,"Phillips County",71.6,110,3.975,67.6
CO-097,"Pitkin County",54.5,104,2.638,51.9
CO-099,"Prowers County",73.5,88,1.415,72.1
CO-101,"Pueblo County",70.8,98,2.318,68.5
CO-103,"Rio Blanco County",62.8,107,3.4,59.4
CO-105,"Rio Grande County",57.9,119,3.775,54.1
CO-107,"Routt County",57.1,105,2.705,54.4
CO-109,"Saguache County",57.5,114,3.081,54.4
CO-111,"San Juan County",51.4,120,4.937,46.5
CO-113,"San Miguel County",63.3,118,4.791,58.5
CO-115,"Sedgwick County",71.2,106,3.621,67.6
CO-117,"Summit County",51.9,101,2.095,49.8
CO-119,"Teller County",56.9,99,2.456,54.4
CO-121,"Washington County",70.2,107,3.41,66.8
CO-123,"Weld County",68.8,111,3.731,65.1
CO-125,"Yuma County",71.8,106,3.504,68.3
CT-001,"Fairfield County",67.4,75,0.907,66.5
CT-003,"Hartford County",67.3,82,0.907,66.4
CT-005,"Litchfield County",64.6,74,0.654,63.9
CT-007,"Middlesex County",66.9,82,0.973,65.9
CT-009,"New Haven County",66.9,81,0.797,66.1
CT-011,"New London County",66.5,91,1.345,65.2
CT-013,"Tolland County",65.8,79,0.794,65
CT-015,"Windham County",65.6,76,0.769,64.8
DE-001,"Kent County",72.7,99,1.99,70.7
DE-003,"New Castle County",71.4,76,0.841,70.6
DE-005,"Sussex County",72.6,93,1.791,70.8
FL-001,"Alachua County",81.7,118,2.367,79.3
FL-003,"Baker County",81,117,2.298,78.7
FL-005,"Bay County",83.1,123,3.618,79.5
FL-007,"Bradford County",81.4,120,2.43,79
FL-009,"Brevard County",80.9,110,1.583,79.3
FL-011,"Broward County",81.7,110,1.685,80
FL-013,"Calhoun County",82.7,123,3.448,79.3
FL-015,"Charlotte County",80.5,58,0.212,80.3
FL-017,"Citrus County",82.4,125,2.944,79.5
FL-019,"Clay County",81.8,122,2.862,78.9
FL-021,"Collier County",81.2,89,0.779,80.4
FL-023,"Columbia County",81.5,120,2.547,79
FL-027,"DeSoto County",80.5,89,0.743,79.8
FL-029,"Dixie County",82.4,124,3.321,79.1
FL-031,"Duval County",81.6,120,2.734,78.9
FL-033,"Escambia County",83.3,125,3.703,79.6
FL-035,"Flagler County",81.8,123,2.838,79
FL-037,"Franklin County",82.8,125,3.507,79.3
FL-039,"Gadsden County",82.3,122,3.152,79.1
FL-041,"Gilchrist County",82.1,124,3.086,79
FL-043,"Glades County",80.6,87,0.839,79.8
FL-045,"Gulf County",82.7,125,3.8,78.9
FL-047,"Hamilton County",81.8,121,2.823,79
FL-049,"Hardee County",81.2,109,1.628,79.6
FL-051,"Hendry County",80.4,77,0.512,79.9
FL-053,"Hernando County",82.4,126,3.142,79.3
FL-055,"Highlands County",80.8,98,1.18,79.6
FL-057,"Hillsborough County",82.9,125,3.137,79.8
FL-059,"Holmes County",82.6,122,3.14,79.5
FL-061,"Indian River County",80.6,113,1.697,78.9
FL-063,"Jackson County",82.6,121,2.708,79.9
FL-065,"Jefferson County",82.7,124,3.576,79.1
FL-067,"Lafayette County",82.3,124,3.335,79
FL-069,"Lake County",82.4,123,2.896,79.5
FL-071,"Lee County",80.6,52,0.06,80.5
FL-073,"Leon County",82.7,123,3.469,79.2
FL-075,"Levy County",82.4,122,3.281,79.1
FL-077,"Liberty County",82.6,125,3.611,79
FL-079,"Madison County",82.4,123,3.49,78.9
FL-081,"Manatee County",81.5,115,1.797,79.7
FL-083,"Marion County",82,122,2.615,79.4
FL-085,"Martin County",81.6,116,2.138,79.5
FL-086,"Miami-Dade County",82,115,1.897,80.1
FL-087,"Monroe County",82.6,114,1.793,80.8
FL-089,"Nassau County",80.9,115,2.167,78.7
FL-091,"Okaloosa County",83.4,127,4.061,79.3
FL-093,"Okeechobee County",80.8,108,1.417,79.4
FL-095,"Orange County",82.4,122,2.417,80
FL-097,"Osceola County",82.1,123,2.346,79.8
FL-099,"Palm Beach County",81.4,110,1.736,79.7
FL-101,"Pasco County",82.6,125,3.302,79.3
FL-103,"Pinellas County",84,126,3.387,80.6
FL-105,"Polk County",82.3,121,2.408,79.9
FL-107,"Putnam County",82.1,122,2.85,79.3
FL-109,"St. Johns County",82.2,126,3.419,78.8
FL-111,"St. Lucie County",81.1,113,1.799,79.3
FL-113,"Santa Rosa County",83.2,125,3.582,79.6
FL-115,"Sarasota County",80.5,73,0.378,80.1
FL-117,"Seminole County",82,116,2.038,80
FL-119,"Sumter County",82.3,125,2.978,79.3
FL-121,"Suwannee County",82.1,123,3.079,79
FL-123,"Taylor County",82.8,124,3.535,79.3
FL-125,"Union County",81.4,120,2.429,79
FL-127,"Volusia County",81.5,118,2.096,79.4
FL-129,"Wakulla County",83,124,3.592,79.4
FL-131,"Walton County",83,126,3.838,79.2
FL-133,"Washington County",82.7,123,3.154,79.5
GA-001,"Appling County",82.1,122,3.078,79
GA-003,"Atkinson County",82.2,123,3.323,78.9
GA-005,"Bacon County",82.1,122,3.15,79
GA-007,"Baker County",82.5,122,3.131,79.4
GA-009,"Baldwin County",80.7,113,2.492,78.2
GA-011,"Banks County",77.8,108,2.22,75.6
GA-013,"Barrow County",78.5,111,2.647,75.9
GA-015,"Bartow County",77.7,107,1.856,75.8
GA-017,"Ben Hill County",82.1,121,3.426,78.7
